Instance;Optimal;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
XML100_2235_04;8456;8699;2.8737;8699;2.8737;8670;2.5307;8685;2.7081;8612;1.8448
XML100_2235_05;8862;9115;2.8549;9115;2.8549;9154;3.295;9188;3.6786;9195;3.7576
XML100_2235_07;8548;8961;4.8315;8961;4.8315;8960;4.8198;8961;4.8315;8963;4.8549
XML100_2235_08;6618;6790;2.599;6790;2.599;6801;2.7652;6765;2.2212;6760;2.1457
XML100_2235_09;7345;7517;2.3417;7517;2.3417;7531;2.5323;7527;2.4779;7495;2.0422
XML100_2235_10;9158;9339;1.9764;9339;1.9764;9329;1.8672;9339;1.9764;9279;1.3212
XML100_2235_11;5886;6112;3.8396;6112;3.8396;6030;2.4465;6034;2.5144;6064;3.0241
XML100_2235_12;5914;5934;0.3382;5934;0.3382;5969;0.93;5980;1.116;5943;0.4904
XML100_2235_13;7447;7659;2.8468;7659;2.8468;7642;2.6185;7634;2.5111;7591;1.9337
XML100_2235_14;7356;7535;2.4334;7535;2.4334;7528;2.3382;7528;2.3382;7486;1.7673
XML100_2235_15;6787;7161;5.5105;7161;5.5105;7073;4.2139;7228;6.4977;6968;2.6669
XML100_2235_16;7960;8019;0.7412;8019;0.7412;8021;0.7663;8018;0.7286;7978;0.2261
XML100_2235_17;6736;7092;5.285;7092;5.285;7139;5.9828;7112;5.5819;7217;7.1407
XML100_2235_22;6691;6840;2.2269;6840;2.2269;6840;2.2269;6840;2.2269;6840;2.2269
XML100_2236_17;6783;6805;0.3243;6805;0.3243;6805;0.3243;6841;0.8551;6798;0.2211
XML100_2244_04;8329;8543;2.5693;8543;2.5693;8575;2.9535;8573;2.9295;8586;3.0856
XML100_2244_17;8591;8754;1.8973;8754;1.8973;8715;1.4434;8758;1.9439;8729;1.6063
XML100_2245_26;7036;7119;1.1796;7119;1.1796;7107;1.0091;7119;1.1796;7119;1.1796
XML100_2246_13;5971;6365;6.5986;6365;6.5986;6379;6.833;6364;6.5818;6388;6.9838
XML100_2251_13;32540;33913;4.2194;33913;4.2194;33913;4.2194;33913;4.2194;33913;4.2194
XML100_2251_21;22395;23246;3.8;23246;3.8;23246;3.8;23246;3.8;23246;3.8
XML100_2251_22;13629;13929;2.2012;13929;2.2012;13929;2.2012;13929;2.2012;13929;2.2012
