Instance;Optimal;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
XML100_2116_23;8093;8093;0;8093;0;8093;0;8093;0;8093;0
XML100_2143_08;12488;12488;0;12488;0;12488;0;12488;0;12488;0
XML100_2143_25;12590;12708;0.937252;12708;0.937252;12708;0.937252;12737;1.16759;12737;1.16759
XML100_2213_04;8357;8357;0;8357;0;8357;0;8357;0;8357;0
XML100_2213_13;11931;11931;0;11931;0;11931;0;11931;0;11931;0
XML100_2213_14;10760;10760;0;10760;0;10760;0;10760;0;10760;0
XML100_2213_15;13602;13602;0;13602;0;13602;0;13602;0;13602;0
XML100_2213_16;11845;11845;0;11845;0;11845;0;11845;0;11845;0
XML100_2213_17;7766;7766;0;7766;0;7766;0;7766;0;7766;0
XML100_2213_18;10322;10322;0;10322;0;10322;0;10322;0;10322;0
XML100_2213_19;11795;11795;0;11795;0;11795;0;11795;0;11795;0
XML100_2213_20;11320;11320;0;11320;0;11320;0;11320;0;11320;0
XML100_2213_21;9970;9970;0;9970;0;9970;0;9970;0;9970;0
XML100_2213_23;8863;8863;0;8863;0;8863;0;8863;0;8863;0
XML100_2213_25;10375;10375;0;10375;0;10375;0;10375;0;10375;0
XML100_2213_26;10991;10991;0;10991;0;10991;0;10991;0;10991;0
XML100_2213_27;10540;10540;0;10540;0;10540;0;10540;0;10540;0
XML100_2214_01;10601;10601;0;10601;0;10601;0;10601;0;10601;0
XML100_2214_02;9558;9558;0;9558;0;9558;0;9558;0;9558;0
XML100_2214_03;8293;8293;0;8293;0;8293;0;8293;0;8293;0
XML100_2214_04;9409;9409;0;9409;0;9409;0;9409;0;9409;0
XML100_2214_07;8675;8675;0;8675;0;8675;0;8675;0;8675;0
XML100_2231_01;26756;27067;1.16236;27067;1.16236;27067;1.16236;27067;1.16236;27067;1.16236
XML100_2231_14;20246;20382;0.671738;20382;0.671738;20382;0.671738;20382;0.671738;20382;0.671738
XML100_2231_22;23205;23344;0.599009;23344;0.599009;23344;0.599009;23344;0.599009;23344;0.599009
XML100_2233_11;10007;10007;0;10007;0;10007;0;10007;0;10007;0
XML100_2233_14;9112;9112;0;9112;0;9112;0;9112;0;9112;0
XML100_2233_15;11403;11403;0;11403;0;11403;0;11403;0;11403;0
XML100_2233_16;11730;11730;0;11730;0;11730;0;11730;0;11730;0
XML100_2233_19;8510;8510;0;8510;0;8510;0;8510;0;8510;0
XML100_2233_20;10817;10817;0;10817;0;10817;0;10817;0;10817;0
XML100_2233_22;9579;9579;0;9579;0;9579;0;9579;0;9579;0
XML100_2233_24;8426;8431;0.0593401;8431;0.0593401;8431;0.0593401;8431;0.0593401;8431;0.0593401
XML100_2233_25;10248;10248;0;10248;0;10248;0;10248;0;10248;0
XML100_2233_26;10096;10096;0;10096;0;10096;0;10096;0;10096;0
